date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,language
2026-08-25,4,"Beautiful Things","Benson Boone",91,181000,single,1,2024-01-19,0,https://tse1.mm.bing.net/th/id/OIP.2jM_97O9RK5E0hJJzdlhAgHaEK?r=0&pid=Api&P=0&h=180,English
2026-08-29,3,Espresso,"Sabrina Carpenter",94,175000,single,1,2024-04-11,1,https://tse2.mm.bing.net/th/id/OIP.iQ9TdHXcAQBLC2sBjDoSCwHaEK?r=0&pid=Api&P=0&h=180,English
2026-08-29,2,"BIRDS OF A FEATHER","Billie Eilish",96,213000,album,10,2024-05-17,0,https://assets.crownnote.com/s3fs-public/2024-10/BirdsofFeather_2.png,English
2026-08-29,1,"Die With A Smile","Lady Gaga, Bruno Mars",98,251000,single,1,2024-08-16,0,https://i.discogs.com/my-Hw-OAoNKQoTss4C8BhpJUPCPa4WXOJNcFY9myKls/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNDky/NjM0LTE3MjQzMjYw/NzItOTIwNi5qcGVn.jpeg,English
2026-08-29,9,greedy,"Tate McRae",88,131000,single,1,2023-09-15,1,https://hypeddit-gates-prod.s3.amazonaws.com/vqudnn_coverartmanual,English
2026-09-02,5,"Please Please Please","Sabrina Carpenter",92,186000,single,1,2024-06-06,1,https://media.zenfs.com/en/bang_showbiz_uk_videos_765/d3f3470efd90eb080c308befe0bea8c7,English
2026-09-02,6,"Good Luck, Babe!","Chappell Roan",93,218000,single,1,2024-04-05,0,https://i.pinimg.com/736x/89/e9/6f/89e96f5374ffb04575150dc50b721428.jpg,English
2026-09-02,7,APT.,"ROSÉ, Bruno Mars",90,169000,single,1,2024-10-18,0,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/2d/1a/7d/2d1a7d91-587e-0ceb-d434-327bd66d9e86/075679628312.jpg/1200x1200bf-60.jpg,English
2026-09-02,10,"What Was I Made For?","Billie Eilish",85,222000,single,1,2023-07-13,0,https://i.pinimg.com/736x/d2/06/80/d20680957a9fa79a9a4865a1f9414842.jpg,English
2026-09-02,8,"Stick Season","Noah Kahan",89,302000,album,14,2022-10-14,0,https://bdc2020.o0bc.com/wp-content/uploads/2023/11/Music_Noah_Kahan_21576-6553bf7cf11ce.jpg,English
2026-09-02,1,Radhimaa,"Sai Abhyankkar, Nargis Teji",62,259000,single,1,2026-08-24,0,https://i.pinimg.com/originals/8f/43/1d/8f431d866e4dc69f87276413c7e21bf5.jpg,Tamil
2026-09-02,2,"Pavazha Malli","Sai Abhyankkar, Shruti Haasan",74,252000,single,1,2026-03-05,1,https://i.ytimg.com/vi/HPw4F8urWO4/maxresdefault.jpg,Tamil
2026-09-02,3,"Thalapathy Kacheri","Anirudh Ravichander, Thalapathy Vijay",82,197000,single,1,2025-11-08,0,https://static.qobuz.com/images/covers/fa/oo/xaw5005vooofa_600.jpg,Tamil
2026-09-02,4,"Raavana Mavandaa","Anirudh Ravichander",78,108000,album,9,2026-01-02,0,https://c.saavncdn.com/504/Raavana-Mavandaa-From-Jana-Nayagan-Tamil-2026-20260102181036-500x500.jpg,Tamil
2026-09-02,5,Dheema,"Anirudh Ravichander",80,235000,single,1,2024-10-16,0,https://c.saavncdn.com/651/Dheema-From-Love-Insurance-Kompany-Tamil-2024-20241015191442-500x500.jpg,Tamil
2026-09-07,12,"Muththa Mazhai","A.R. Rahman, Dhee",79,245000,single,1,2026-06-18,0,https://i.ytimg.com/vi/1d08HAQDqpU/maxresdefault.jpg,Tamil
2026-09-07,18,"Hey Minnale","G.V. Prakash Kumar, Haricharan, Shweta Mohan",81,268000,single,1,2024-10-04,0,https://i1.sndcdn.com/artworks-LBMLeyi0V9lz-0-t1080x1080.jpg,Tamil
2026-09-07,14,"Oorum Blood","Sai Abhyankkar, Paal Dabba",72,192000,album,8,2026-02-14,1,https://c.saavncdn.com/091/Oorum-Blood-From-Dude-Tamil-2025-20250828160021-500x500.jpg,Tamil
2026-09-07,9,"Mutta Kalakki","G.V. Prakash Kumar, Ken Karunaas",70,204000,single,1,2026-05-20,0,https://i.scdn.co/image/ab67616d0000b273347f6136e4f63cd00675bed2,Tamil
2026-09-07,1,Pattampoochi,"G.V. Prakash Kumar, Sublahshini",85,209000,single,1,2026-07-15,0,https://lyricsmall.com/wp-content/uploads/2026/06/Pattampoochi-song-lyrics.jpg,Tamil
2026-09-10,1,"Arz Kiya Hai","Anuv Jain",82,295000,single,1,2025-08-20,0,https://images.genius.com/92e6406cfa47bde718c15ce9869e357d.1000x1000x1.png,Hindi
2026-09-10,8,Barsaat,"Banjaare, Roni",70,185000,single,1,2026-07-09,1,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ad/c2/92/adc29200-b15b-5cb8-39d4-e4e8b8c61185/23UMGIM64254.rgb.jpg/1200x1200bf-60.jpg,Hindi
2026-09-10,5,"KALYANI - Remix","ARJN, KDS, FIFTY4, Shreya Ghoshal",74,269000,single,1,2026-07-01,1,https://i.ytimg.com/vi/osAW3KJgi2s/maxresdefault.jpg,Hindi
2026-09-10,6,"Gehra Hua","Shashwat Sachdev, Arijit Singh",76,362000,single,1,2025-11-27,1,https://images.genius.com/c727f849347b43889d13f1c8d693d4f4.1000x1000x1.png,Hindi
2026-09-02,7,"Finding Her","Kushagra, Bharath, Saaheal",72,207000,single,1,2025-01-29,1,https://i.ytimg.com/vi/ADIBxareT1M/maxresdefault.jpg,Hindi
2026-09-10,4,"Tum Ho Toh","Vishal Mishra, Hansika Pareek",78,318000,album,8,2025-06-17,0,https://c.saavncdn.com/930/Tum-Ho-Toh-Hindi-2026-20260204140204-500x500.jpg,Hindi
2026-09-10,9,"Mann Mera","Gajendra Verma",80,198000,album,6,2013-04-01,1,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/8d/56/16/8d561645-95ea-61d5-589e-e9baf25ac9a9/196873134451.jpg/1200x630bf-60.jpg,Hindi
2026-09-10,2,Samjhawan,"Arijit Singh, Shreya Ghoshal",85,269000,album,7,2014-06-12,0,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e2/25/23/e22523af-1e38-015b-01bc-928f68c1962a/196589197863.jpg/1200x630wp-60.jpg,Hindi
2026-09-10,3,"Tere Liye","Atif Aslam, Shreya Ghoshal",84,279000,album,12,2010-04-09,0,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/90/ac/85/90ac85dd-e585-17bf-226a-26f017e52296/0194548438101.jpg/1200x1200bf-60.jpg,Hindi
2026-09-10,10,Sahiba,"Aditya Rikhari",81,190000,single,1,2023-12-19,0,https://d2e1hu1ktur9ur.cloudfront.net/wp-content/uploads/2025/05/sahiba.jpg,Hindi
2026-09-11,1,Dwapara,"Jaskaran Singh, Arjun Janya",86,222000,single,1,2024-07-20,0,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ac/75/2b/ac752bdc-f484-4502-c6cd-cd33d17157e0/cover.jpg/512x512bb.jpg,Kannada
2026-09-11,2,Tabaahi,"Vishal Mishra, Yogaraj Bhat",84,215000,single,1,2024-12-08,0,https://tse2.mm.bing.net/th/id/OIP.cmr76zcha5VwNxFU06CMpwHaHa?r=0&pid=Api&P=0&h=180,Kannada
2026-09-11,3,Parichayavade,"B. Ajaneesh Loknath, Pramod Maravante, Ritesh G Rao",82,238000,single,1,2024-10-18,1,https://tse4.mm.bing.net/th/id/OIP.h8YMD_GlYCSyxDYK1umAoQHaFj?r=0&pid=Api&P=0&h=180,Kannada
2026-09-11,4,"Masth Malaika","Nakash Aziz, Sanvi Sudeep",79,210000,single,1,2026-02-05,1,https://tse4.mm.bing.net/th/id/OIP.OrqU6V9tFooyxQB7Q_bi5AHaEK?r=0&pid=Api&P=0&h=180,Kannada
2026-09-11,5,"Idre Nemdiyaag Irbek","B. Ajaneesh Loknath, Deepak Blue, Aniruddha Sastry",78,204000,single,1,2025-11-20,0,"https://static.toiimg.com/thumb/msid-125866814,width-1070,height-580,imgsize-342746,resizemode-75,overlay-toi_sw,pt-32,y_pad-500/photo.jpg",Kannada
2026-09-12,6,Puttamalli,"Vasuki Vaibhav, Chethan Kumar, Sanjith Hegde",76,198000,single,1,2026-06-14,1,https://tse3.mm.bing.net/th/id/OIP.6JfRmEuiOLybh1MIxuuRzwHaHa?r=0&pid=Api&P=0&h=180,Kannada
2026-09-12,7,Brahmakalasha,"B. Ajaneesh Loknath, Shasiraj Kavoor, Abby V",75,242000,single,1,2025-12-25,0,https://tse1.mm.bing.net/th/id/OIP.hqqWEyCoHbChHnNKs6irlgHaHa?r=0&pid=Api&P=0&h=180,Kannada
2026-09-12,8,"Aseema Prema Radheyadenu","Arjun Janya, Indu Nagaraj",73,237000,album,5,2026-01-15,0,https://m.media-amazon.com/images/I/41QBM1mM37L._SX472_SY472_BL0_QL100_.jpg,Kannada
2026-09-13,9,Manamohaka,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami",72,185000,single,1,2024-12-20,0,https://tse4.mm.bing.net/th/id/OIP.Js7R-9EQZFa-ZQnBcBpD_wHaEK?r=0&pid=Api&P=0&h=180,Kannada
2026-09-13,10,"Ninna Notavu","Tanmay Gururaj",70,164000,single,1,2026-04-10,1,https://i.ytimg.com/vi/FDCc2beB77I/maxresdefault.jpg,Kannada
